Pump Type,Series,Model,kW,HP,Version/Phase,Max Head (m),Max Flow (lps/m3h),Suction Lift (m),Outlet Size (mm),Applications
Borewell Submersible,LENA,CRI3R-30/32,0.75,1.0,Single Phase,89,0.8,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-3112/,0.55,0.75,Single Phase,44,0.7,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-3117/*,0.75,1.0,Single Phase,76,0.8,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-31/24,0.75,1.0,Single Phase,103,0.8,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-31/24*,1.1,1.5,Single Phase,105,0.8,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-3310/,0.75,1.0,Single Phase,39,1.4,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-33/15,1.1,1.5,Single Phase,59,1.4,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA,CRI3R-34/38,1.1,1.5,Single Phase,156,0.5,,25 & 32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA+,WCFBK-31.0/16/,0.75,1.0,Single Phase,71,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA+,WCFBK-3/1.5/22,1.1,1.5,Single Phase,99,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA+,WCFBK-3/2/32,1.5,2.0,Single Phase,140,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA+,WCFBK-3/240/,1.5,2.0,Single Phase,176,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,LENA+,WCFBK-3/2/50,1.5,2.0,Single Phase,214,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,ZUNO Lite,CRI3R-3117/,0.75,1.0,Single Phase,70,0.9,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,ZUNO Lite,CRI3R-3310/,0.75,1.0,Single Phase,37,1.4,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,ZUNO Lite,CRI3R-3312/,0.75,1.0,Single Phase,44,1.4,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,ZUNO Lite,CRI3R-33/15,1.1,1.5,Single Phase,59,1.4,,32,"Domestic, Gardens, Irrigation, Agriculture, Farms, Industrial"
Borewell Submersible,GENIE,CRI4F-1F/07*,0.37,0.5,1Ph/3Ph,59,0.7,,"32, 40, 50 & 65","Domestic, Municipal, Rural Water, Sprinkler, Fire Fighting, Mining"
Borewell Submersible,GENIE,CRI4F-1F/11,0.55,0.75,1Ph/3Ph,88,0.7,,"32, 40, 50 & 65","Domestic, Municipal, Rural Water, Sprinkler, Fire Fighting, Mining"
Borewell Submersible,GENIE,CRI4R-2N/75,5.5,7.5,1Ph/3Ph,568,0.9,,"32, 40, 50 & 65","Domestic, Municipal, Rural Water, Sprinkler, Fire Fighting, Mining"
Vertical Openwell Submersible,LTK,LTK-3E/07M-9,0.75,1.0,Single/Three Phase,73,1.66,,32,"Domestic, Multi-storey buildings, Irrigation, Gardens, Rural water supply"
Vertical Openwell Submersible,LTK,LTK-3E/11M-11,1.1,1.5,Single/Three Phase,89,1.66,,32,"Domestic, Multi-storey buildings, Irrigation, Gardens, Rural water supply"
Horizontal Openwell Submersible,CSS,CSS-1*,0.37,0.5,Single/Three Phase,25,4.0,,"25, 40, 50","Domestic, Multi-storey buildings, Irrigation, Gardens, Rural water supply"
Horizontal Openwell Submersible,CSS,CSS-4S,1.5,2.0,Single/Three Phase,57,4.0,,"25, 40, 50","Domestic, Multi-storey buildings, Irrigation, Gardens, Rural water supply"
Centrifugal Monoblock,ACM,ACM-0*,0.37,0.5,1Ph/3Ph,19,3.3,7.0,25 to 100,"Domestic, Irrigation, Farms, Gardens, Industry, Civil"
Centrifugal Monoblock,ACM,ACM-28/T/ACM-28,1.1,1.5,1Ph/3Ph,43,3.1,7.0,25 to 100,"Domestic, Irrigation, Farms, Gardens, Industry, Civil"
S.S. Centrifugal Monoblock,JTS,JTS-2/03M,0.37,0.5,1Ph/3Ph,36,1.0,8.0,25 x 25,"Domestic, Food Processing, Shallow wells, Car washing, Drinking water"
S.S. Centrifugal Monoblock,JTS,JTS-3/07M,0.75,1.0,1Ph/3Ph,40,1.04,8.0,25 x 25,"Domestic, Food Processing, Shallow wells, Car washing, Drinking water"
Deepwell Centrifugal Jet,AJ,A5/AJ5*,0.37,0.5,1Ph/3Ph,31,0.3,92.0,32 x 25 x 25,"Domestic, Farms, Gardens, Civil"
Deepwell Centrifugal Jet,AJ,A18/AJ1,1.5,2.0,1Ph/3Ph,92,0.7,92.0,32 x 25 x 25,"Domestic, Farms, Gardens, Civil"
Self-priming Monoblock,DORA,DORA 50,0.37,0.5,1Ph/3Ph,30,0.56,8.0,25 x 25,"Domestic, Garden, Pressure boosting, RO Applications"
Self-priming Monoblock,ROYALE,ROYALE 150,1.1,1.5,1Ph/3Ph,58,1.08,8.0,25 x 25,"Domestic, Garden, Pressure boosting, RO Applications"
